City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Saint-Philippe,RE,2021-03-24 19:20:01,-21.3585,55.7679,78.8,83,0,3.44
110,Kushiro,JP,2021-03-24 19:18:25,42.975,144.3747,35.08,88,100,1.81
111,Georgetown,MY,2021-03-24 19:20:03,5.4112,100.3354,81.0,94,20,3.44
112,Muroto,JP,2021-03-24 19:20:03,33.2833,134.15,59.59,68,100,6.22
113,Katsuura,JP,2021-03-24 19:20:03,35.1333,140.3,57.99,67,75,10.36
114,Bubaque,GW,2021-03-24 19:20:04,11.2833,-15.8333,78.4,67,2,18.12
115,Lebu,CL,2021-03-24 19:20:04,-37.6167,-73.65,58.48,62,0,17.94
116,Asau,RO,2021-03-24 19:20:04,46.4333,26.4,33.01,57,100,9.33
117,Port Augusta,AU,2021-03-24 19:20:04,-32.5,137.7667,55.99,82,4,8.05
118,Grindavik,IS,2021-03-24 19:20:05,63.8424,-22.4338,33.8,80,75,12.66
119,Kangaatsiaq,GL,2021-03-24 19:20:05,68.3065,-53.4641,-4.47,79,100,11.05
120,Hithadhoo,MV,2021-03-24 19:20:05,-0.6,73.0833,83.17,72,100,10.98
121,Castro,BR,2021-03-24 19:20:05,-24.7911,-50.0119,81.91,51,98,2.59
122,Dyurtyuli,RU,2021-03-24 19:20:06,55.4911,54.8688,20.59,95,96,6.26
123,Golden,US,2021-03-24 19:18:57,39.7555,-105.2211,37.99,64,75,5.75
124,Araouane,ML,2021-03-24 19:20:06,18.9048,-3.5265,80.56,6,10,12.82
125,Tuktoyaktuk,CA,2021-03-24 19:20:06,69.4541,-133.0374,-5.8,77,40,8.05
126,Guerrero Negro,MX,2021-03-24 19:20:06,27.9769,-114.0611,62.89,58,1,17.45
127,Dali,CN,2021-03-24 19:20:07,25.7,100.1833,51.4,49,0,6.11
128,Misratah,LY,2021-03-24 19:18:28,32.3754,15.0925,57.7,54,77,17.63
129,Avera,US,2021-03-24 19:20:07,33.194,-82.5271,73.4,73,90,5.75
130,Ewa Beach,US,2021-03-24 19:20:07,21.3156,-158.0072,78.8,73,75,13.8
131,Itajobi,BR,2021-03-24 19:20:08,-21.3181,-49.0544,91.4,29,40,3.69
132,Turukhansk,RU,2021-03-24 19:20:08,65.8167,87.9833,22.12,94,100,10.85
133,Barra Patuca,HN,2021-03-24 19:18:13,15.8,-84.2833,84.54,58,0,16.08
134,Wajir,KE,2021-03-24 19:20:08,1.7471,40.0573,87.8,40,1,7.74
135,Krasnopillya,UA,2021-03-24 19:20:08,50.7746,35.2597,29.32,79,100,15.55
136,Sambava,MG,2021-03-24 19:20:09,-14.2667,50.1667,78.84,82,43,1.97
137,Tecoman,MX,2021-03-24 19:20:09,18.9167,-103.8833,78.8,50,1,11.5
138,Berbera,SO,2021-03-24 19:20:09,10.4396,45.0143,78.55,64,5,2.26
139,Stupava,SK,2021-03-24 19:20:09,48.2747,17.0317,44.6,57,75,6.91
140,College,US,2021-03-24 19:20:10,64.8569,-147.8028,17.01,79,90,2.68
141,Morondava,MG,2021-03-24 19:20:10,-20.2833,44.2833,80.08,75,0,9.4
142,Hingoli,IN,2021-03-24 19:20:10,19.7167,77.15,84.81,28,53,4.05
143,Port Alfred,ZA,2021-03-24 19:20:11,-33.5906,26.891,70.97,76,100,19.44
144,Praia,CV,2021-03-24 19:20:11,14.9215,-23.5087,73.4,64,0,17.27
145,Vestmanna,FO,2021-03-24 19:20:11,62.1564,-7.1664,41.0,87,20,6.91
146,Waipawa,NZ,2021-03-24 19:20:11,-41.4122,175.5153,57.2,82,40,5.75
147,Norman Wells,CA,2021-03-24 19:20:12,65.282,-126.8329,3.2,66,75,10.36
148,Ashland,US,2021-03-24 19:20:12,40.8167,-82.2665,69.8,46,75,23.02
149,Gwadar,PK,2021-03-24 19:20:12,25.1216,62.3254,75.27,69,0,3.2
150,Laurel,US,2021-03-24 19:20:12,39.0993,-76.8483,57.2,100,90,3.44
151,Wairoa,NZ,2021-03-24 19:20:13,-39.0333,177.3667,59.0,96,88,1.99
152,Maningrida,AU,2021-03-24 19:20:13,-12.0667,134.2667,79.45,84,100,2.35
153,Cristalina,BR,2021-03-24 19:20:13,-16.7686,-47.6136,76.41,49,49,6.4
154,Port Lincoln,AU,2021-03-24 19:20:13,-34.7333,135.8667,60.93,75,48,12.53
155,Portland,US,2021-03-24 19:19:45,45.5234,-122.6762,45.0,81,90,5.75
156,Khatanga,RU,2021-03-24 19:20:14,71.9667,102.5,-3.64,93,100,3.38
157,Klaksvik,FO,2021-03-24 19:20:14,62.2266,-6.589,41.0,87,20,6.91
158,Teguldet,RU,2021-03-24 19:20:14,57.3064,88.1667,28.36,93,100,12.68
159,Kieta,PG,2021-03-24 19:20:15,-6.2167,155.6333,78.48,80,100,0.96
160,Tuatapere,NZ,2021-03-24 19:20:15,-46.1333,167.6833,45.0,96,14,3.29
161,Batemans Bay,AU,2021-03-24 19:20:15,-35.7167,150.1833,60.01,88,1,1.01
162,Broome,US,2021-03-24 19:20:15,42.2506,-75.833,54.0,93,90,16.11
163,San Pedro,PH,2021-03-24 19:20:16,14.35,121.0167,80.01,78,20,2.3
164,Kandrian,PG,2021-03-24 19:20:16,-6.2167,149.55,76.77,85,100,3.36
165,Coihaique,CL,2021-03-24 19:20:16,-45.5752,-72.0662,59.0,44,0,3.44
166,Killybegs,IE,2021-03-24 19:20:16,54.6333,-8.45,46.4,71,0,12.66
167,Strezhevoy,RU,2021-03-24 19:20:17,60.7333,77.5889,24.8,93,75,6.71
168,Bjorkelangen,NO,2021-03-24 19:20:17,59.8848,11.5694,42.8,39,0,4.61
169,Moose Factory,CA,2021-03-24 19:20:17,51.2585,-80.6094,23.0,80,90,12.66
170,Severo-Kurilsk,RU,2021-03-24 19:20:17,50.6789,156.125,24.48,63,90,19.44
171,Karratha,AU,2021-03-24 19:20:18,-20.7377,116.8463,81.68,63,1,6.71
172,Adamas,GR,2021-03-24 19:20:18,36.7333,24.4333,46.4,71,85,14.97
173,Flinders,AU,2021-03-24 19:20:18,-34.5833,150.8552,70.0,68,16,4.0
174,Ilulissat,GL,2021-03-24 19:20:18,69.2167,-51.1,-4.0,71,75,12.66
175,Kharan,PK,2021-03-24 19:20:19,28.5833,65.4167,75.58,14,0,9.62
176,Sampit,ID,2021-03-24 19:20:19,-2.5333,112.95,73.99,96,100,1.25
177,Vila Franca Do Campo,PT,2021-03-24 19:20:19,37.7167,-25.4333,57.2,72,75,11.5
178,Kathu,TH,2021-03-24 19:20:19,7.9178,98.3332,87.01,94,40,1.14
179,Olden,NO,2021-03-24 19:20:20,61.8364,6.8064,37.4,93,75,4.61
180,Virginia Beach,US,2021-03-24 19:17:14,36.8529,-75.978,75.2,60,20,14.97
181,Mareeba,AU,2021-03-24 19:20:20,-17.0,145.4333,75.2,94,96,4.61
182,Atuona,PF,2021-03-24 19:20:20,-9.8,-139.0333,80.38,75,100,18.77
183,Alofi,NU,2021-03-24 19:20:21,-19.0595,-169.9187,78.8,94,77,5.75
184,Mehamn,NO,2021-03-24 19:20:21,71.0357,27.8492,32.0,80,20,16.11
185,Jalu,LY,2021-03-24 19:20:21,29.0331,21.5482,56.14,44,0,14.52
186,Slobodskoy,RU,2021-03-24 19:20:21,58.7322,50.1772,31.64,95,100,6.98
187,Lagoa,PT,2021-03-24 19:20:22,39.05,-27.9833,56.23,59,13,2.46
188,Vostok,RU,2021-03-24 19:20:22,46.4856,135.8833,11.7,98,73,3.29
189,Bethel,US,2021-03-24 19:18:29,41.3712,-73.414,60.8,59,90,11.5
190,Kapoeta,SS,2021-03-24 19:20:22,4.7717,33.5903,87.73,26,13,10.8
191,Santa Maria,BR,2021-03-24 19:20:22,-29.6842,-53.8069,80.6,69,40,11.5
192,Souillac,MU,2021-03-24 19:20:23,-20.5167,57.5167,77.0,94,20,4.61
193,Saskylakh,RU,2021-03-24 19:20:23,71.9167,114.0833,-8.07,93,99,7.02
194,Burnie,AU,2021-03-24 19:20:23,-41.0667,145.9167,59.0,78,100,8.99
195,Bosaso,SO,2021-03-24 19:18:21,11.2842,49.1816,77.27,67,0,1.28
196,Ahipara,NZ,2021-03-24 19:20:24,-35.1667,173.1667,56.23,86,1,4.41
197,Munster,DE,2021-03-24 19:19:04,51.9624,7.6257,51.01,71,0,4.59
198,Ausa,ES,2021-03-24 19:20:24,41.9271,2.2497,54.0,79,6,1.63
199,Puri,IN,2021-03-24 19:20:24,19.8,85.85,78.8,73,20,9.6
200,Natalio,PY,2021-03-24 19:20:24,-26.7167,-55.0833,88.43,50,36,3.91
201,Bandarbeyla,SO,2021-03-24 19:20:25,9.4942,50.8122,77.88,59,0,7.94
202,Kahului,US,2021-03-24 19:20:25,20.8947,-156.47,75.2,83,20,4.61
203,Eureka,US,2021-03-24 19:20:22,40.8021,-124.1637,55.0,77,100,5.99
204,Makokou,GA,2021-03-24 19:20:25,0.5738,12.8642,70.95,98,85,2.95
205,Maniago,IT,2021-03-24 19:20:26,46.1706,12.7078,51.8,58,0,4.61
206,Puerto Cabezas,NI,2021-03-24 19:20:26,14.0351,-83.3888,84.2,84,75,9.22
207,Leningradskiy,RU,2021-03-24 19:20:26,69.3833,178.4167,-6.66,97,100,10.16
208,Adrar,MR,2021-03-24 19:20:26,20.5022,-10.0711,82.58,9,0,11.05
209,Tanggu,CN,2021-03-24 19:20:27,39.0211,117.6469,41.0,70,0,4.47
210,Mallow,IE,2021-03-24 19:20:27,52.1333,-8.6333,48.99,100,75,14.97
211,Porto Nacional,BR,2021-03-24 19:20:27,-10.7081,-48.4172,91.4,55,40,5.75
